Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,2.84,60.16,1.5,7.9,7.7,13.5,33.2,24.7,10.5,72.84,1.03,,65.74,6.61,0.85,0.65,137.38,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.68,28.9,24.45,26.63,24.47,21.43,6.01,6.21,3.46,0.57,23.33,3.84,0.69,23.9,15.89,5.44,2.44,135.41,50.63,14.64,,18.84,,19.54,6.45,32.48,25.82,2.15,6.14,,0.83,1.64,,26.31,5.01,1.22,,,21.35,32.19,1.96,2.07,21.84,1.64,11.49,63.42,15.6,20.99,,14.11,,2.76,45.04,,,10,33913792728.0,Medical Specialties,Health Technology
AA,14.44,29.31,1.4,10.2,,,,,5.9,23.57,1.22,28.7,24.44,1.05,0.44,0.55,33.02,1.55,79.98,58.53,26.31,10.94,0.65,,,1.22,,30.71,,19.3,6.97,0.7,0.67,,0.27,,,1.22,262.77,,,2.82,39.81,8.14,,,,,,1.52,,,,0.55,,,,,,,,,,17.95,,,1.46,1.52,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,42.27,,10.4,,,,,27,50.15,,,45.34,0.65,0.34,0.21,10.43,0.6,20.92,21.96,14.01,19.76,,,,,19.03,19.03,,11.53,6.7,0.69,0.71,5.25,,,,,5.33,,17.2,4.34,16.94,20.23,1.4,,,,5.34,,,10.79,,0.14,,,,,,,0.32,,,3.37,,,,,0.5,,5.17,4.89,,,12.18,,44.83,7.78,,,8,8696254174.0,Airlines,Transportation
AAP,,46.39,3.6,,26,,,,8.9,53.73,35.27,,48.88,1.29,0.09,0.11,60.99,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.64,70.87,17.46,15.17,19.27,10.49,0.63,0.63,1.41,0.21,4.18,12.96,1.64,16.78,6.62,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.42,88.39,88.39,,0.32,,,,,7.74,3.8,0.28,,,5.39,11.97,,0.53,3.67,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.99,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,7.55,47.43,2.9,1.3,5.7,20.9,23.2,14.6,15.7,26.57,0.61,9.85,38.96,9.96,0.54,0.64,218.24,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.44,28.18,25.74,33.18,26.11,24.26,8.1,8.86,3.55,0.22,26.71,3.05,0.46,29.41,20.27,10.11,5.4,179.88,45.59,59.12,,26.31,,30.98,45.09,33.94,33.94,2.01,8.91,,1.4,1.59,,33.4,8.25,2.21,,,30.82,36.07,1.91,2.54,45.09,0.99,29.34,262.55,56.47,150.79,,34.83,,3.09,49.38,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,70.15,,,9.7,8.1,22.2,18.4,8.5,72.58,6.6,,71.56,0.71,0.98,0.06,24.86,2.06,,143.65,6.4,6.71,1.43,,1.49,5.37,23.27,12.34,25.79,,,,7.09,4.3,0.4,27.51,8.07,5.42,,7.39,,2.41,29.12,62.64,1.88,,15.46,,27.6,1.26,27.93,27.93,12.14,4.26,,2.42,1.35,10.95,15.54,1.26,0.55,,,9.91,19.32,,1.11,1.28,2.06,2.29,612.23,4.67,5.68,,4.28,,3.4,31.08,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,13.7,72.71,,,7.8,9.6,49.1,7.4,3.8,87.24,5.53,4.64,78.65,1.93,0.44,0.24,181.94,0.94,72.03,65.71,76.29,4.7,9.24,,0.66,3.39,40.95,24.33,17.49,15.58,14.72,6.94,6.96,2.44,0.05,39.8,6.81,3.43,16.89,23.77,7.11,5.05,142.61,62.76,6,,9.71,,24.95,40.07,60.65,19.86,1.28,5.86,,0.89,0.48,,14.76,,1.35,,,14.21,21.68,0.94,1.58,,0.83,3.87,188.7,9.07,47.16,,9.28,,4.7,39.64,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,55.64,,8.7,,,,,,65.84,,,59.97,2.18,6.66,9.48,3.23,7.76,,,342.96,,0.07,,,,,,,,,8.29,9.34,,0.77,,,,,,,31.92,1.23,,,,,,,0.84,,,,26.04,,,,,,,,2.6,1.97,,,,,0.98,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,47.38,,2.2,20.8,5.4,3.2,9.8,11,46.08,11.37,,48.07,3.53,0.4,3.65,2.11,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.16,8.41,6.21,8.78,8.61,6.54,2.06,1.95,11.89,0.65,25.4,12.37,7.16,12.77,14.46,5.16,6.39,2.94,50.66,6.83,,18.25,,23.83,2.15,11.28,10.82,2.21,2.36,,,,,9.34,1.67,0.43,,,7.23,10.53,1.8,0.71,5.15,0.7,10.77,64.69,18.64,17.03,,17.22,,6.21,11.72,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,3.58,62,,50.3,,28.2,37.8,,24,65.34,,3.73,63.42,2.73,0.01,0.01,255.6,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.71,9.98,103.99,11.31,10.42,0.58,0.66,9.34,0.33,0.64,1.9,,8.75,30.37,,8.9,256.13,18.22,5.43,,3.68,,6.86,1.54,9.31,8.12,0.25,0.34,,0.26,4.63,,53.42,,1.17,,,16.48,138.67,0.32,0.56,,0.38,6.33,26.89,13.18,17.8,,9.59,,,14.04,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,11.93,74.61,2,8.4,5.9,40.8,24.6,,11.1,89.65,1.99,20.84,80.92,3.11,0.05,0.04,55.12,1.44,,,58.62,2.69,0.76,,0.28,1.63,11.81,9.24,13.8,11.87,9.59,0.57,0.58,8.47,0.37,4.23,10.04,1.64,15.06,26.13,,2.09,50.68,,4.81,,3.04,,4.88,1.88,14.43,17.55,1.09,0.43,,0.95,0.9,,10.35,,1.11,,,8.85,9.56,0.88,0.95,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.45,28.12,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,33.74,,38.3,,,,,8,20.41,,,28.38,4.02,0.78,5.4,140.29,1.44,,31.15,7.78,0.93,0.26,,,,37.11,36.32,19.03,23.89,20.15,7.12,7.8,2.69,0.32,40.97,4.71,,32.3,,,11.87,169.58,82.86,20.56,,48.23,,15.86,11.31,18.78,18.78,,9,,,,,22.03,3.24,,,23.82,21.9,15.82,,,12.56,1.44,22.9,794.68,22.38,69.5,,64.25,,2.94,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,,53.74,0.7,6.3,12.3,6.8,6.7,,5.8,56.01,3.83,,55.17,5.04,0.47,0.46,104.77,1.6,134.53,83.35,57.11,1.47,0.38,,0.48,2.05,27.16,19.21,38.8,20.58,17.77,4.57,4.69,3.68,0.54,12.09,2.7,2.1,22.49,14.76,8.16,6.34,107.82,55.24,12.37,,13.65,,15.92,4.7,33.05,23.54,2.05,4.48,,0.82,1.93,,37.14,5.21,1.09,,,25.67,41.83,2.08,1.75,25.55,1.11,7.61,66.45,11.91,14.69,,10.43,,3.26,38.95,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,10.71,62.33,,6.9,,13.2,4.1,,5.9,65.27,0.22,3.82,63.86,3.35,0.41,0.29,91.64,2.28,70.68,47.28,58.62,1.66,0.26,,0.07,0.22,24.22,13.4,48.72,,,1.85,2.08,4.13,0.65,4.27,2.26,0.22,25.58,22.62,,,69.21,18.95,6.11,,6.05,,7.6,1.87,31.38,33.57,1.66,1.89,,,,,44.38,2.43,,,,14.23,20.2,1.69,1.24,3.96,1.36,4.04,12.16,6.5,6.18,,4.91,,2.44,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,74.05,,,,38.8,40.9,46.1,16.4,83.89,,,78.21,2.39,1.42,7.89,18.75,2.04,155.25,99.1,38.89,9.83,0.13,,,,,453.36,43.18,30.4,49.7,2.93,3.38,,0.54,7.83,2.06,,39.07,,,17.91,33.29,92.27,,,,,,6.67,,,,3.8,,,,,48.83,,,39.06,10.9,48.83,1704.54,,,8.72,1.86,,,,,,0.28,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,50.16,,12.2,,,16.9,,10.9,56.48,,,52.07,2.13,0.16,0.04,65.53,1.27,18.65,504.43,43.97,9.27,0.69,,,,104.79,37.74,,13.58,10.79,2.52,2.7,0.95,0.52,,,,18.53,1.06,15.49,9.88,86.79,96.44,5.93,,,,17.7,2.09,,18.3,,2.02,,,,,,3.03,0.87,,,60.44,,,1.99,11.28,1.25,,3.32,1.65,,,3.15,,,225.97,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,58.46,,100.9,,,,,,56.53,,,56.94,,5.78,,,6.01,,,,,,,,,,,,,,245.42,,,,,,,,,16.47,,,,,,,,,3.75,,,,,,,,,,,,5.19,4.9,,,,,3.78,6.01,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,63.89,,18.8,33.9,6,,,4.2,80.14,2.39,,70.76,3.61,0.04,0.02,19.97,0.88,31.49,25.97,3.45,3.24,4.86,,0.18,2.39,13.53,5.88,30.95,11.15,6.23,0.32,0.32,7.39,0.11,1.05,7.18,2.39,8.27,19.31,,1.64,21.79,27.84,3.99,,1.41,,2.43,3.97,10.4,7.62,0.56,0.15,,,,,14.02,,,,,4.17,12.48,0.85,0.77,,0.21,4.28,12.32,10.22,45.12,,6.91,,4.42,30.72,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,73.11,68.48,2.6,5.9,,7,21.8,,6.8,67.14,,26.32,67.89,2.76,0.19,0.17,43.15,1.37,,22.6,71.62,2.69,0.84,,,,20.63,13.79,26.37,,13.9,3.46,3.65,4.85,0.38,13.85,4.5,,24.69,14.49,23.83,6.2,31.87,50.52,3.24,,9.88,,17.2,3.65,31.96,24.94,2.08,3.18,,1.27,1.96,,22.74,,1.25,,,18.57,24.93,2.24,1.35,,1.37,4.54,120.19,11.23,11.91,,6.74,,1.92,47.94,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,39.41,0.9,22.7,,62.7,72,31,34.8,32.24,,5.78,35.2,8.7,1.92,11.83,122.99,4,174.18,32.12,62.57,0.15,0.05,,,,12.18,11.63,24.46,,11.25,2.98,3.13,8.21,0.69,12.8,3.61,,,22.58,,,116.52,44.58,50.74,,22.16,,24,4.45,16.25,16.25,0.33,3.62,,,,,28.12,1.79,1.73,32.03,5.72,24.7,29.75,0.65,1.88,4.45,2.87,20.88,79.89,31.17,31.17,,36.43,,1.4,44.4,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,65.54,66.51,,,,2.6,0.1,,,69.69,,,68.09,7.31,5.32,6.57,62.1,5.46,,,75.9,,0.18,,,,,,,,,18.95,22.49,,0.64,,,,,,,8.1,0.0,,,,,,,6.66,,,,23.5,,,,,,,,11.37,10.82,,,,,6.66,5.46,,,,,,,,,,,,,1598748014.0,Biotechnology,Health Technology
ACM,1.32,56.39,4.6,,,0.1,22.9,46.8,7.7,61.61,0.93,,58.69,2.16,0.19,0.44,89.99,1.06,,54.74,60.22,4.7,1.23,,0.15,0.93,34.52,23.99,20.04,12.93,11.27,1.77,0.9,2.9,0.19,4.48,5.62,0.98,17.11,6.94,13.07,6.91,95.46,6.56,4.98,,,,5.49,5.56,,23.71,8.47,0.81,,,,,18.13,,1.87,,,15.54,65.43,,1.76,,1.06,,45.39,7.23,,,9.55,,4.44,142.84,,,7,11643339642.999998,Engineering & Construction,Industrial Services
