Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,22.7,33.13,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,18.37,1.13,,28.22,5.68,,0.74,0.61,125.69,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.75,23.14,20.05,26.55,22.58,19.74,5.51,5.79,4.32,0.54,21.81,3.92,0.75,22.25,15.96,4.77,2.33,134.26,54.39,17.3,,,21.75,,22.9,6.12,26.08,24.12,2.01,5.67,,0.77,1.62,,25.97,5.01,1.12,,,20.59,25.97,1.86,1.93,23.36,1.37,13.03,74.15,18.1,23.78,,16.15,,3.52,40.55,,,10,33913792728.0,Medical Specialties,Health Technology
AA,59.08,59.44,1.4,10.2,,,,,75.95,5.9,63.27,0.89,1.19,59.88,1.47,,0.38,0.45,45.6,1.41,78.33,59.38,26.65,4.45,0.56,,,0.89,998.65,19.7,,7.08,5.15,1.13,1.18,0.1,0.36,,,0.89,14.29,,,4.06,33.34,11.35,1.6,,,,,2.02,2.16,,,,0.76,,,,,,,,,,21.32,,,1.78,2.32,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,6.51,64.67,,10.4,,,,,597.78,27,64.77,,,64.48,0.68,,0.33,0.22,14.33,0.57,21.4,22.29,13.62,16.51,,,,,16.89,16.89,,6.24,4.58,0.7,0.75,5.92,,,,,7.01,,,4,16.1,20.34,1.4,,,0.51,,5.17,,43.42,13.18,,0.18,,,,,,,0.46,,,4.19,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.45,12.46,,,8,8696254174.0,Airlines,Transportation
AAON,74.16,64,,26.3,8.1,29.5,31.8,,20.3,29.5,53.84,0.36,46.02,61.69,30.69,,,,131.16,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.04,35.52,104.3,,,,8.89,2.27,0.77,8.52,0.97,0.24,44.54,20.39,19.72,15.07,79.71,35.65,94.37,,,15.78,,20.14,13.37,57.78,57.78,2.3,9.07,,3.14,9.22,,106.44,6.55,1.77,,54.88,45.07,68.68,2.31,8.89,16.71,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,115.05,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.44,3.6,,26,,,,,8.9,55.77,55.8,,55.52,1.89,,0.08,0.12,38.5,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.61,27.75,10.95,26.25,29.02,13.12,0.68,0.47,3.6,0.21,1.77,9.5,2.61,16.66,5.18,78.47,,113.92,40.02,2.38,,,0.36,,1.55,0.89,52.74,49.36,,0.18,,,,,10.49,1.78,0.17,,,5.55,74.94,,0.36,1.45,0.62,0.36,4.12,2.95,1.7,,1.76,,4.68,5.3,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,23.89,51.53,2.7,,4.9,6.2,6.4,8.6,,5.4,59.29,0.56,23.77,53.47,8.75,,0.37,0.61,228.28,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.31,25.9,32.06,26.38,24.32,8.35,8.92,3.53,0.16,27.83,3.15,0.44,30.87,18.27,11.58,6.93,187.55,46.21,,,,23.97,,31.51,60.55,37.55,33.82,2.13,9.03,,1.42,1.58,,32.34,9.54,1.98,,,29.77,34.69,2.15,2.52,60.55,0.83,26.93,278.63,59.87,140.28,,32.51,,3.34,49.52,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,46.75,46.51,,,9.7,8.1,22.2,18.4,28.45,8.5,33.3,5.88,22.96,42.05,0.77,,4.87,0.25,27.84,5.78,,148.94,6.31,7.97,1.8,,1.38,4.79,22.74,12.14,23.96,,,,7.11,4.4,0.35,29.66,8.22,4.81,38.67,9.06,,2.94,26.45,63.33,1.92,,,16.36,,28.14,1.39,27.91,27.91,12.13,4.53,,2.49,1.36,11.31,15.28,1.36,0.61,,,10.08,18.58,,1.23,1.45,5.78,2.43,683.81,4.81,6.24,,4.5,,,32.82,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,36.56,24.82,,,7.8,9.6,1.7,7.4,21.19,3.8,13.83,6.12,13.48,19.6,1.71,,0.17,0.1,166.57,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.75,36.25,19.62,22.75,13.05,12.59,6.06,6.44,2.76,0.04,28.13,5.31,3.95,13.72,16.99,7.48,5.43,149.97,67.21,5.43,,,9.22,,26.13,48.85,57.84,15.49,1,5.29,,0.56,0.62,,18.91,,1.21,,,17.88,33.37,1.54,1.5,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.82,35.67,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,45.91,,8.7,,,,,,,34.98,,,42.46,1.76,,8.08,9.01,2.71,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.4,,0.77,,,,,,,,1.02,,,,,,,,0.73,,,,23.45,,,,,,,,2.44,1.87,,,,,0.82,9.34,,,,,,,,1.14,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.79,,2.2,20.8,5.4,3.2,9.8,60.73,11,32.91,10.99,,37.91,3.62,,0.59,6.19,2.18,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.92,8.26,6.2,8.62,8.15,6.25,1.98,1.99,12.11,0.67,25.25,11.68,6.92,11.6,16.07,3.93,6.4,2.76,50.98,7.91,,,16.92,,23.87,1.98,12.67,12.39,2.53,2.39,,,,,9.53,1.64,0.45,,,7.53,10.18,1.66,0.69,4.36,0.9,10.03,70.19,19.21,15.52,,15.33,,6.17,12.11,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,33.94,50.11,2,8.4,5.9,40.8,24.6,,23.18,11.1,33.27,2,16.79,45.39,2.96,,0.07,0.06,55.36,1.38,,,56.6,3.53,0.8,,0.26,1.64,15.8,11.64,17.66,12,9.69,0.58,0.58,6.33,0.36,3.3,7.85,1.64,15.11,26.13,,1.62,51.5,,3.58,,,1.89,,3.62,1.89,22.88,15.95,0.99,0.42,,0.86,1.13,,13.04,,1.08,,,10.58,16.02,0.8,0.96,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.24,28.68,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,7.31,46.45,,38.3,,,,,322.31,8,37.41,,,42.84,4.61,,0.99,4.98,131.44,1.62,,33.1,6.78,0.96,0.27,,,,32.08,31.28,17.93,20.91,20.57,5.98,6.79,3.12,0.38,37.96,5.01,,29.48,,,10.69,165.98,83.07,22.92,,,16.96,,15.01,9.71,46.12,46.12,,7.79,,,,,20.68,4.68,,,17.79,20.68,34.83,,,10.69,1.62,7.98,839.68,21.23,22.05,,19.8,,4.17,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,19.93,55.36,0.7,6.3,12.3,6.8,6.7,,,5.8,63.95,3.51,14.7,57.4,5.32,,0.52,0.52,117.13,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.88,28.63,19.91,32.49,22.49,17.76,4.68,5.11,3.49,0.54,15.74,3.19,1.88,22.69,11.27,8.9,6.48,108.19,55.55,11.5,,,13.99,,16.24,5.11,35.6,25.91,2.25,4.94,,1.4,1.64,,31.53,5.16,1.15,,,23.44,41.19,3.21,1.95,23.1,1.14,7.9,65.41,12.45,14.86,,10.65,,3.36,41.83,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,28.08,63.03,,6.9,,13.2,4.1,,3.27,5.9,59.59,0.19,9.66,62.61,2.82,,1.75,0.61,104.95,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.19,27.85,14.8,44.88,,,1.87,2.23,3.59,0.56,4.86,2.36,0.19,23.74,18.15,26.64,11.51,76.6,19.84,4.58,,,5.17,,7.87,2.1,39.9,32.49,1.61,2.02,,,,,42.36,2.57,,,,16.2,24.9,2.07,1.42,4.58,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,60.24,,,,38.8,40.9,46.1,223.57,16.4,54.25,,3.45,59.99,2.85,,1.64,11.45,16.21,2.29,235.21,82.57,38.31,0.4,0.09,,,,20.65,18.61,11.43,14.17,17.47,2.26,2.49,4.84,0.59,21.82,7.52,,20.6,,,15.86,33.6,91.61,,,,13.83,,12.08,4.67,20.78,20.78,0.93,2.9,,,,,13.2,2.3,,16.21,6.93,13.2,20.28,,,5.71,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,17.3,,12.2,,,16.9,,,10.9,8.06,,,13.54,1.66,,0.13,0.04,37.09,1.07,18.46,542.09,44.04,3.16,0.66,,,,10.96,8.45,,8.64,6.82,1.54,1.72,9.12,0.52,,,,10.11,0.99,11.97,9.07,85.08,96.45,5.11,,,8.99,,17.48,1.12,12.17,10.59,,1.09,,,,,,1.52,0.51,,,26.3,,,1.12,4.91,1.06,5.05,19.42,10.06,9.78,,8.25,,,109.41,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,66.69,,100.9,,,,,,,67.26,,,67.94,,,5.79,,,6.03,,,,,,,,,,,,,,29.02,,,,,,,,,16.18,,,,,,,,,,4.01,,,,,,,,,,,,6.84,6.41,,,,,4.66,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,53.37,,18.8,33.9,6,,,132.17,4.2,49.35,2.46,,53.26,3.52,,0.04,0.02,19.27,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.46,14.31,5.91,31.61,12.45,6.46,0.3,0.31,6.99,0.11,0.99,7.04,2.46,8.49,16.73,,1.83,21.45,27.85,3.83,,,1.25,,2.28,3.7,11.27,7.71,0.57,0.14,,,,,14.29,,,,,4.18,14.18,1.22,0.81,,0.22,3.79,11.26,9.28,37.17,,6.52,,7.24,28.34,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,96.89,56.39,2.6,5.9,,7,21.8,,142.28,6.8,47.15,,35.09,54.27,3.7,,0.26,0.17,54.45,1.56,,21.51,50.45,2.07,0.77,,,,17.77,13.27,23.55,,14.57,3.8,4.06,5.63,0.43,17.25,4.89,,27.5,13.21,31.06,7.94,34.12,52.2,4.73,,,14.04,,22.14,4.29,25.68,23.47,1.96,3.61,,1.19,1.8,,21.02,,1.39,,,18.42,23.52,2.26,1.61,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.34,55.56,,,10,2556336665.0,Packaged Software,Technology Services
