Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,50.03,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,35.28,1,,47.07,5.26,,0.7,0.39,136.46,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.69,25.56,22.05,30.1,23.78,21.16,6.02,6.35,3.91,0.5,21.09,3.5,0.72,24.51,15.22,8.66,5.96,135.15,54.3,15.5,,,19.8,,22.86,6.66,31.15,26.02,2.28,6.16,,0.83,1.43,,29.18,1.01,7.14,1.21,,,22.88,29.65,2.09,2.04,44.84,1.58,11.63,68.51,17.6,21.45,,14.54,,3.48,42.62,,,10,33913792728.0,Medical Specialties,Health Technology
AA,41.54,32.14,29.58,1.4,10.2,,,,,75.95,5.9,9.53,1.01,17.7,22.18,1.37,,0.38,0.45,38.44,1.41,78.33,59.38,26.65,4.45,0.56,,,1.04,888.95,17.54,,4.88,3.79,0.94,1.07,0.11,0.36,,,1.04,10.49,,,6.49,32.0,11.35,1.6,,,,,2.02,1.89,,,,0.67,,,,,,1.2,,,,,18.64,,,1.5,1.96,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,62.42,28.83,,10.4,,,,,597.78,27,45.21,,25.79,58.08,0.69,,0.33,0.22,16.72,0.57,21.4,22.29,13.62,16.51,,,,,17.51,17.51,,8.44,5.74,0.73,0.78,5.71,,,,,7.52,,,3.99,16.36,20.34,1.4,,,0.51,,5.17,,50.06,15.2,,0.21,,,,,,1.02,,0.54,,,4.81,,,,,0.47,0.43,6.13,5.96,,,2.95,,25.47,14.37,,,8,8696254174.0,Airlines,Transportation
AAON,87.68,56.8,38.76,,26.3,8.1,29.5,31.8,,20.3,29.5,60.46,0.36,68.06,55.84,31.38,,,,128.67,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.14,36.41,106.92,,,,9.11,2.22,0.77,8.52,0.94,0.24,43.69,20.38,17.97,15.07,80.11,35.65,94.37,,,15.78,,20.14,13.73,59.32,59.32,2.36,9.3,,3.08,9.05,,109.3,1.61,6.42,1.73,,53.84,46.26,70.47,2.27,8.72,17.15,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,118.12,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,54.77,,3.6,,26,,,,,8.9,44.5,48.53,,52.66,1.9,,0.08,0.12,44.46,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.27,28.88,11.4,27.32,30.2,13.65,0.7,0.48,3.46,0.21,1.77,8.32,2.27,25.73,3.95,,,99.79,40.02,2.38,,,0.36,,1.55,1.01,60.25,56.38,,0.21,,,,,12.02,0.45,2.06,0.19,,,6.31,85.56,,0.42,1.65,0.62,0.36,4.12,2.95,1.7,,1.76,,4.23,6.06,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.88,78.61,3.79,2.7,,4.9,6.2,6.4,8.6,,5.4,89.81,0.51,3.84,85.38,9.43,,0.37,0.61,253.48,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.39,31.13,28.49,35.26,28.99,26.7,9.2,9.81,3.21,0.16,27.83,2.87,0.4,33.95,18.04,11.5,6.9,188.57,46.21,,,,23.97,,31.51,66.59,41.29,37.19,2.34,9.9,,1.58,1.75,,35.59,1.34,10.6,2.2,,,32.74,38.12,2.39,2.8,66.59,0.83,26.93,278.63,59.87,140.28,,32.51,,3.04,54.46,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,17.39,48.26,0.04,,,9.7,8.1,22.2,18.4,28.45,8.5,40.04,5.92,25.35,44.71,0.79,,4.87,0.25,27.5,5.78,,148.94,6.31,7.97,1.8,,1.38,4.83,23.02,12.31,24.25,,,,7.21,4.34,0.35,29.66,8.03,4.83,56,8.97,,2.18,26.35,63.33,1.92,,,16.36,,28.14,1.42,28.58,28.58,12.43,4.64,,2.46,1.34,11.58,15.64,1.04,1.34,0.6,,,10.32,19.03,,1.21,1.44,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.61,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,7.11,35.38,,,,7.8,9.6,1.7,7.4,21.19,3.8,17.14,5.93,,30.41,1.76,,0.17,0.1,175.38,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.61,37.2,20.14,23.5,13.4,12.92,6.22,6.61,2.67,0.04,28.13,5.15,3.82,14.08,16.72,7.67,5.45,150.45,67.21,5.43,,,9.22,,26.13,50.27,59.59,15.97,1.03,5.48,,0.59,0.65,,19.48,1.17,,1.27,,,18.43,34.36,1.62,1.57,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.77,36.73,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.76,,,8.7,,,,,,,43.45,,,47.59,1.88,,8.08,9.01,2.79,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.28,,0.77,,,,,,,22.79,1.01,,,,,,,,0.77,,,,24.73,,,,,,2.76,,,2.51,1.92,,,,,0.84,9.34,,,,,,,,1.06,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,37.08,,,2.2,20.8,5.4,3.2,9.8,60.73,11,21.13,11.57,6.25,32.2,3.7,,0.59,6.19,2.12,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.26,7.98,5.99,8.94,8.45,6.49,2.06,1.92,12.53,0.67,25.25,10.22,5.43,11.78,15.82,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.06,14.51,14.2,2.9,2.47,,,,,9.85,0.77,1.72,0.48,,,7.78,10.52,1.75,0.73,4.52,0.9,10.03,70.19,19.21,15.52,,15.33,,5.95,12.46,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,19.82,53.52,7.95,2,8.4,5.9,40.8,24.6,,23.18,11.1,52.44,1.94,8.8,52.18,2.98,,0.07,0.06,54.91,1.38,,,56.6,3.53,0.8,,0.26,1.59,16.19,11.93,18.09,12.3,9.93,0.59,0.6,6.18,0.36,3.3,7.66,1.87,14.99,25.93,,1.73,51.59,,3.58,,,1.89,,3.62,1.94,23.45,16.36,1.02,0.44,,0.85,1.12,,13.35,1.06,,1.07,,,10.85,16.41,0.79,0.95,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.19,29.41,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,42.97,8.5,,38.3,,,,,322.31,8,30.03,,,37.89,4.6,,0.99,4.98,132.24,1.62,,33.1,6.78,0.96,0.27,,,,32.08,31.28,17.89,20.91,20.57,6,6.79,3.12,0.38,37.96,4.98,,29.75,,,10.79,167.49,83.07,22.92,,,16.96,,15.01,9.77,46.39,46.39,,7.91,,,,,20.87,0.79,4.71,,,17.89,20.87,34.99,,,10.76,1.62,7.98,839.68,21.23,22.05,,19.8,,4.18,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,8.02,34.34,,0.7,6.3,12.3,6.8,6.7,,,5.8,13.63,3.64,12.03,25.46,5.17,,0.52,0.52,113.29,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.95,27.52,19.14,31.23,21.61,17.07,4.5,4.91,3.63,0.54,15.74,3.32,2.1,21.95,11.41,8.91,6.49,108.82,55.55,11.5,,,13.99,,16.24,4.91,34.23,24.92,2.17,4.78,,1.35,1.58,,30.35,1.04,4.99,1.12,,,22.56,39.64,3.11,1.89,22.21,1.14,7.9,65.41,12.45,14.86,,10.65,,3.49,40.22,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,26.6,56.92,10.28,,6.9,,13.2,4.1,,3.27,5.9,47.54,0.18,19.68,53.2,2.92,,1.75,0.61,106.79,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.19,28.87,15.34,47.48,,,1.93,2.33,3.43,0.56,4.86,2.3,0.19,24.39,18,26.64,11.51,77.7,19.84,4.58,,,5.17,,7.87,2.16,41,33.39,1.65,2.12,,,,,43.55,1.38,2.62,,,,16.65,25.53,2.11,1.44,4.7,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,54.4,3.14,,,,38.8,40.9,46.1,223.57,16.4,47.51,,13.01,52.61,2.92,,1.64,11.45,17.41,2.29,235.21,82.57,38.31,0.4,0.09,,,,21.11,19.02,11.69,14.48,17.86,2.31,2.55,4.74,0.59,21.82,7.03,,22.82,,,15.88,34.11,91.61,,,,13.83,,12.08,5,22.23,22.23,1,3.1,,,,,14.16,0.51,2.47,,17.41,7.44,14.16,21.65,,,6.11,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,40.89,,,12.2,,,16.9,,,10.9,46.83,,,45.42,1.73,,0.13,0.04,39.64,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.59,8.94,,9.14,7.22,1.65,1.83,8.63,0.52,,,,11.33,0.83,10.72,8.88,85.22,96.45,5.11,,,8.99,,17.48,1.23,13.27,11.54,,1.19,,,,,,0.47,1.62,0.54,,,28.67,,,1.19,5.36,1.06,5.05,19.42,10.06,9.78,,8.25,,,119.28,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACI,,60.65,1.83,,18.8,33.9,6,,,132.17,4.2,72.1,2.42,,64.25,3.54,,0.04,0.02,19.32,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.42,14.59,6.02,32.33,12.69,6.58,0.31,0.32,6.91,0.11,0.99,6.84,3.02,8.71,16.22,,1.77,21.47,27.85,3.83,,,1.25,,2.28,3.81,11.61,7.94,0.59,0.14,,,,,14.69,0.9,,,,,4.3,14.57,1.22,0.81,,0.22,3.79,11.26,9.28,37.17,,6.52,,6.89,29.07,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,82.67,50.09,10.84,2.6,5.9,,7,21.8,,142.28,6.8,49.01,,49.68,48.27,3.71,,0.26,0.17,53.77,1.56,,21.51,50.45,2.07,0.77,,,,17.86,13.34,23.67,,14.64,3.82,4.08,5.6,0.43,17.25,4.85,,29.2,13.19,23.1,7.94,34.09,52.2,4.73,,,14.04,,22.14,4.33,25.89,23.66,1.97,3.64,,1.18,1.78,,21.14,1.58,,1.37,,,18.55,23.66,2.24,1.59,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.32,56.01,,,10,2556336665.0,Packaged Software,Technology Services
