SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
7,MSFT,410.54,3.05E+12,Technology Services,Packaged Software
5,AAPL,182.74,2.80E+12,Electronic Technology,Telecommunications Equipment
9,NVDA,904.12,2.26E+12,Electronic Technology,Semiconductors
6,GOOGL,169.38,2.11E+12,Technology Services,Packaged Software
6,GOOG,171.16,2.11E+12,Technology Services,Packaged Software
9,AMZN,188,1.96E+12,Retail Trade,Internet Retail
8,META,472.6,1.20E+12,Technology Services,Internet Software/Services
6,BRK.B,406.37,8.78E+11,Finance,Property/Casualty Insurance
6,BRK.A,612100,8.78E+11,Finance,Property/Casualty Insurance
9,LLY,775,7.37E+11,Health Technology,Pharmaceuticals: Major
10,TSM,143.6,6.43E+11,Electronic Technology,Semiconductors
9,AVGO,1325.37,6.14E+11,Electronic Technology,Semiconductors
8,NVO,126.69,5.64E+11,Health Technology,Pharmaceuticals: Major
5,JPM/PM,18.88,5.62E+11,Finance,Major Banks
5,JPM/PL,20.56,5.62E+11,Finance,Major Banks
5,JPM/PK,20.17,5.62E+11,Finance,Major Banks
5,JPM/PJ,21.22,5.62E+11,Finance,Major Banks
5,JPM/PD,24.53,5.62E+11,Finance,Major Banks
5,JPM/PC,24.97,5.62E+11,Finance,Major Banks
5,JPM,195.65,5.62E+11,Finance,Major Banks
5,TSLA,174.72,5.57E+11,Consumer Durables,Motor Vehicles
8,V,277.19,5.55E+11,Commercial Services,Miscellaneous Commercial Services
10,XOM,116.15,5.21E+11,Energy Minerals,Integrated Oil
10,WMT,60.3,4.86E+11,Retail Trade,Specialty Stores
10,UNH,503.21,4.63E+11,Health Services,Managed Health Care
8,MA,454.77,4.23E+11,Commercial Services,Miscellaneous Commercial Services
10,PG,165.07,3.90E+11,Consumer Non-Durables,Household/Personal Care
10,JNJ,148.95,3.58E+11,Health Technology,Pharmaceuticals: Major
9,ASML,911.47,3.57E+11,Electronic Technology,Semiconductors
6,COST,763.41,3.39E+11,Retail Trade,Food Retail
8,HD,338.83,3.36E+11,Retail Trade,Home Improvement Chains
9,MRK,129.55,3.28E+11,Health Technology,Pharmaceuticals: Major
7,ORCL,117.39,3.23E+11,Technology Services,Packaged Software
9,TM,231.78,3.12E+11,Consumer Durables,Motor Vehicles
9,CVX,162.54,3.00E+11,Energy Minerals,Integrated Oil
,MER/PK,25.31,2.95E+11,Finance,Major Banks
,BML/PL,22.2,2.95E+11,Finance,Major Banks
,BML/PJ,22.805,2.95E+11,Finance,Major Banks
,BML/PH,21.86,2.95E+11,Finance,Major Banks
,BML/PG,22.58,2.95E+11,Finance,Major Banks
10,BAC/PS,20.5,2.95E+11,Finance,Major Banks
10,BAC/PQ,18.46,2.95E+11,Finance,Major Banks
10,BAC/PP,18.19,2.95E+11,Finance,Major Banks
10,BAC/PO,19.21,2.95E+11,Finance,Major Banks
10,BAC/PN,21.65,2.95E+11,Finance,Major Banks
10,BAC/PM,23.01,2.95E+11,Finance,Major Banks
10,BAC/PL,1172.85,2.95E+11,Finance,Major Banks
10,BAC/PK,24.56,2.95E+11,Finance,Major Banks
10,BAC/PE,23.57,2.95E+11,Finance,Major Banks
10,BAC/PB,24.85,2.95E+11,Finance,Major Banks
5,BAC,37.71,2.95E+11,Finance,Major Banks
6,ABBV,160.45,2.83E+11,Health Technology,Pharmaceuticals: Major
8,KO,62.85,2.71E+11,Consumer Non-Durables,Beverages: Non-Alcoholic
4,CRM,278.97,2.71E+11,Technology Services,Packaged Software
7,NFLX,609.47,2.63E+11,Technology Services,Internet Software/Services
9,AMD,153.62,2.48E+11,Electronic Technology,Semiconductors
8,PEP,177.41,2.44E+11,Consumer Non-Durables,Food: Specialty/Candy
9,AZN,76.97,2.38E+11,Health Technology,Pharmaceuticals: Major
9,SHEL,72.63,2.30E+11,Energy Minerals,Integrated Oil
7,SAP,190.31,2.21E+11,Technology Services,Packaged Software
6,TMO,573.64,2.19E+11,Health Technology,Medical Specialties
8,ADBE,488.1,2.19E+11,Technology Services,Packaged Software
7,WFC/PZ,20.58,2.13E+11,Finance,Major Banks
7,WFC/PY,23.7,2.13E+11,Finance,Major Banks
7,WFC/PL,1164.155,2.13E+11,Finance,Major Banks
7,WFC/PD,18.73,2.13E+11,Finance,Major Banks
7,WFC/PC,19.3,2.13E+11,Finance,Major Banks
7,WFC/PA,20.45,2.13E+11,Finance,Major Banks
5,WFC,61.23,2.13E+11,Finance,Major Banks
7,LIN,427.71,2.06E+11,Process Industries,Chemicals: Specialty
10,QCOM,180.55,2.01E+11,Electronic Technology,Semiconductors
7,NVS,99.6,1.97E+11,Health Technology,Pharmaceuticals: Major
9,ACN,311.99,1.96E+11,Technology Services,Information Technology Services
9,MCD,268.49,1.94E+11,Consumer Services,Restaurants
7,CSCO,48,1.94E+11,Technology Services,Information Technology Services
